2022-02-28 08:55:58 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2022-02-28 08:55:58 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 10 ms. Found 0 Redis repository interfaces.
2022-02-28 08:55:58 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'spring.datasource.dynamic-com.baomidou.dynamic.datasource.spring.boot.autoconfigure.DynamicDataSourceProperties' of type [com.baomidou.dynamic.datasource.spring.boot.autoconfigure.DynamicDataSourceProperties] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2022-02-28 08:55:58 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'com.baomidou.dynamic.datasource.spring.boot.autoconfigure.DynamicDataSourceAutoConfiguration' of type [com.baomidou.dynamic.datasource.spring.boot.autoconfigure.DynamicDataSourceAutoConfiguration$$EnhancerBySpringCGLIB$$7fd2bcba] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2022-02-28 08:55:58 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'dsProcessor' of type [com.baomidou.dynamic.datasource.processor.DsHeaderProcessor] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2022-02-28 08:55:58 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'dynamicDatasourceAnnotationAdvisor' of type [com.baomidou.dynamic.datasource.aop.DynamicDataSourceAnnotationAdvisor] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2022-02-28 08:55:58 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 9989 (http)
2022-02-28 08:55:58 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-9989"]
2022-02-28 08:55:58 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2022-02-28 08:55:58 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.54]
2022-02-28 08:55:58 [restartedMain] INFO  o.a.c.c.C.[.[localhost].[/pony] - Initializing Spring embedded WebApplicationContext
2022-02-28 08:55:58 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1122 ms
2022-02-28 08:55:59 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - master - Starting...
2022-02-28 08:55:59 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - master - Start completed.
2022-02-28 08:55:59 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - slave_ers - Starting...
2022-02-28 08:55:59 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - slave_ers - Start completed.
2022-02-28 08:55:59 [restartedMain] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource - load a datasource named [master] success
2022-02-28 08:55:59 [restartedMain] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource - load a datasource named [slave_ers] success
2022-02-28 08:55:59 [restartedMain] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource initial loaded [2] datasource,primary datasource named [master]
2022-02-28 08:55:59 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
2022-02-28 08:55:59 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-9989"]
2022-02-28 08:55:59 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 9989 (http) with context path '/pony'
2022-02-28 08:55:59 [restartedMain] INFO  top.lcywings.pony.PonyApplication - Started PonyApplication in 2.435 seconds (JVM running for 3.013)
2022-02-28 08:56:50 [SpringApplicationShutdownHook] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource start closing ....
2022-02-28 08:56:50 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - master - Shutdown initiated...
2022-02-28 08:56:50 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - master - Shutdown completed.
2022-02-28 08:56:50 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - slave_ers - Shutdown initiated...
2022-02-28 08:56:50 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - slave_ers - Shutdown completed.
2022-02-28 08:56:50 [SpringApplicationShutdownHook] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource all closed success,bye
2022-02-28 08:56:53 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.0.Final
2022-02-28 08:56:53 [restartedMain] INFO  top.lcywings.pony.PonyApplication - Starting PonyApplication using Java 1.8.0_251 on DESKTOP-MG71CNU with PID 8324 (G:\Lcywings\YuyiProject\Lcywings\target\classes started by kcidea-2020 in G:\Lcywings\YuyiProject\Lcywings)
2022-02-28 08:56:53 [restartedMain] INFO  top.lcywings.pony.PonyApplication - The following profiles are active: dev
